"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"86";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Slider.java";1;0;1;1;0;0;0;1;0;0;1;2327;0;0;1;0;0;1;1;2327;0;2327;1;1;NA
"87";"/org.eclipse.jdt.ui.tests.refactoring/resources/UseSupertypeWherePossible/testNew3/in/A.java";1;0;1;1;0;0;0;1;2;0;1;1272;2;2;1;0;0;1;1;1272;0;1272;1;1;NA
"88";"/org.eclipse.jface/src/org/eclipse/jface/viewers/StructuredSelection.java";1;0;1;1;0;0;0;1;8;0;1;1293;8;8;1;0;0;1;1;1293;0;1293;1;1;NA
"89";"/org.eclipse.core.runtime/src/org/eclipse/core/internal/registry/ListenerList.java";3;1;3;1;2;2;2;1;2;0;1;4882;2;2;1;0;0;1;3;4882;0;5686;3;3;NA
"90";"/org.eclipse.jface.text/projection/org/eclipse/jface/text/source/projection/ProjectionAnnotationModel.java";2;1;7;1;4;4;4;3;102;1;3;4866;211;211;1;0;0;3;7;4866;0;6362;7;2;NA
"91";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/activities/ws/ActivityViewerFilter.java";1;0;1;1;1;1;1;0;0;0;0;5874;0;0;1;0;0;0;1;5874;0;5874;1;1;NA
"92";"/org.eclipse.debug.ui/ui/org/eclipse/debug/ui/variables/FolderPromptExpander.java";1;0;3;1;0;0;0;3;37;2;2;316;37;37;2;1;0;3;3;316;1;550;2;1;NA
"93";"/org.eclipse.ui.internal.r21presentation/src/org/eclipse/ui/internal/r21presentation/presentations/R21PresentationFactory.java";2;2;5;2;5;3;5;0;89;0;0;5275;96;96;2;0;2;0;5;5381;2;5531;3;2;NA
"94";"/org.eclipse.jface.text/src/org/eclipse/jface/text/contentassist/ICompletionProposal.java";1;3;4;1;4;2;4;0;59;0;0;6340;61;61;3;0;2;0;4;6353;2;6353;2;1;NA
"95";"/org.eclipse.jdt.core.tests.model/workspace/Converter/src/test0139/Test.java";1;0;1;1;0;0;0;1;0;0;1;3714;0;0;1;0;0;1;1;3714;0;3714;1;1;NA
"96";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/registry/ViewRegistryReader.java";5;1;6;1;2;2;2;4;24;1;4;1035;79;79;1;0;0;4;6;1035;0;6338;6;5;NA
"97";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/views/DebugViewInterimLabelProvider.java";2;0;3;1;0;0;0;3;7;1;3;3495;11;11;1;0;0;3;3;3495;0;3594;3;2;NA
"98";"/org.eclipse.jdt.launching.macosx/macosx/org/eclipse/jdt/internal/ui/macbundler/BundleWizardPage2.java";1;0;1;1;0;0;0;1;0;0;1;3622;0;0;1;0;0;1;1;3622;0;3622;1;1;NA
"99";"/org.eclipse.jdt.core.tests.model/workspace/Converter/src/javadoc/test017/TestD2.java";1;0;2;1;0;0;0;2;0;1;2;4311;0;0;1;0;0;2;2;4311;0;4390;2;1;NA
"100";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/about/ConfigurationLogDefaultSection.java";1;1;2;1;2;2;2;0;2;0;0;5483;2;2;1;0;0;0;2;5483;0;6338;2;1;NA
"101";"/org.eclipse.ui.intro/src/org/eclipse/ui/intro/internal/model/StandbyPartContent.java";1;0;4;1;1;1;1;3;4;1;3;4614;6;6;1;0;0;3;4;4614;0;5115;4;1;NA
"102";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/subscriber/CVSSynchronizeParticipant.java";1;0;1;1;0;0;0;1;0;0;1;2463;0;0;1;0;0;1;1;2463;0;2463;1;1;NA
"103";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/request/EventRequestManagerImpl.java";3;1;5;1;3;3;3;2;17;1;2;1240;31;31;1;0;0;2;5;1240;0;6336;5;3;NA
"104";"/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/IEnvironmentVariables.java";2;1;2;1;2;2;2;0;8;0;0;5798;12;12;1;0;0;0;2;5798;0;6336;2;2;NA
"105";"/org.eclipse.team.webdav/src/org/eclipse/team/internal/core/target/IMemento.java";2;1;2;1;2;2;2;0;2;0;0;5754;2;2;1;0;0;0;2;5754;0;6337;2;2;NA
"106";"/org.eclipse.jdt.core.tests.model/workspace/Completion/src/CompletionAbstractMethod1.java";1;0;1;1;0;0;0;1;0;0;1;1702;0;0;1;0;0;1;1;1702;0;1702;1;1;NA
"107";"/org.eclipse.search/search/org/eclipse/search/internal/ui/SearchPlugin.java";2;1;9;1;4;4;4;5;29;1;5;1101;77;77;1;0;0;5;9;1101;0;6340;9;2;NA
"108";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/packageview/CollapseAllAction.java";1;0;1;1;1;1;1;0;2;0;0;6340;2;2;1;0;0;0;1;6340;0;6340;1;1;NA
"109";"/org.eclipse.ui.ide/src/org/eclipse/ui/views/markers/internal/TaskMarker.java";3;1;4;1;2;2;2;2;13;1;2;3214;17;17;1;0;0;2;4;3214;0;6338;4;3;NA
"110";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/indexing/AddFolderToIndex.java";3;1;13;2;2;2;2;11;63;2;10;937;96;96;2;1;0;11;13;4887;1;6099;12;3;NA
"111";"/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/diagnose/LexStream.java";2;0;5;1;0;0;0;5;94;1;5;764;106;106;1;0;0;5;5;764;0;3560;5;2;NA
"112";"/org.eclipse.osgi/core/framework/org/eclipse/osgi/framework/internal/core/BundleSource.java";4;1;4;1;2;2;2;2;28;1;2;3013;34;34;1;0;0;2;4;3013;0;6337;4;4;NA
"113";"/org.eclipse.jdt.core.tests.model/workspace/Converter/src/test0345/A.java";1;0;1;1;0;0;0;1;0;0;1;3714;0;0;1;0;0;1;1;3714;0;3714;1;1;NA
"114";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/feature/FeatureSelectionDialog.java";2;2;4;1;4;3;4;0;8;0;0;5563;12;12;2;0;1;0;4;5781;1;6336;3;2;NA
"115";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/IContributorResourceAdapter.java";1;0;1;1;0;0;0;1;0;0;1;2737;0;0;1;0;0;1;1;2737;0;2737;1;1;NA
"116";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/DropToFrameButton.java";1;0;1;1;1;1;1;0;0;0;0;5620;0;0;1;0;0;0;1;5620;0;5620;1;1;NA
"117";"/org.eclipse.jdt.ui.tests.refactoring/resources/IntroduceParameter/simple/out/ConstantExpression1.java";1;0;1;1;0;0;0;1;0;0;1;2281;0;0;1;0;0;1;1;2281;0;2281;1;1;NA
