"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"135";"org.eclipse.ui.texteditor.spelling";1;0;7;1;0;0;2;5;37;0;1;24;37;42;3;2;0;3;3;24;2;24;1;2;0
"136";"org.eclipse.team.internal.core.streams";1;0;2;1;0;0;0;2;42;0;1;35;42;6;2;1;0;2;2;35;1;35;1;1;0
"137";"org.eclipse.team.internal.ccvs.ui.operations";1;0;12;1;0;0;0;12;215;3;3;8;427;208;3;4;0;7;7;16;4;20;3;1;5
"138";"org.eclipse.jdt.internal.compiler";0;0;7;0;0;0;0;7;2856;3;2;1;4671;0;3;3;0;5;5;21;3;21;2;0;9
"139";"org.eclipse.jdt.internal.codeassist";0;0;9;0;0;0;1;8;221;0;1;1;221;0;2;1;0;2;2;1;1;1;1;0;2
"140";"org.eclipse.swt.internal.carbon";1;3;24;1;5;2;6;18;54;5;5;7;130;0;5;9;3;14;19;37;12;47;7;1;1
"141";"org.eclipse.ui.internal.ide.update";0;0;3;0;0;0;0;3;0;0;0;-1;0;100;0;0;0;0;0;-1;0;-1;0;2;0
"142";"org.eclipse.update.internal.ui.model";0;0;7;0;0;0;0;7;66;2;2;12;123;0;2;2;0;4;4;12;2;18;2;0;0
"143";"com.sun.jdi";1;0;3;1;0;0;0;3;86;0;1;6;86;160;2;1;0;2;2;6;1;6;1;3;0
"144";"org.eclipse.jface.viewers.deferred";0;0;4;0;0;0;0;4;0;0;1;32;0;0;2;1;0;2;2;32;1;32;1;0;0
"145";"org.eclipse.ui.texteditor.quickdiff";0;0;7;0;0;0;2;5;93;0;1;42;93;0;2;0;1;2;2;42;1;42;1;0;0
"146";"org.eclipse.swt.internal.motif";0;0;11;0;0;0;0;11;3784;7;2;11;5371;62;7;7;0;9;9;11;7;20;2;2;0
"147";"org.eclipse.core.internal.model";1;0;4;1;0;0;0;4;142;2;2;30;180;8;2;2;0;4;4;30;2;33;2;1;0
"148";"org.eclipse.ant.internal.core";0;0;3;0;0;0;0;3;0;0;0;-1;0;39;0;0;0;0;0;-1;0;-1;0;1;1
"149";"org.eclipse.swt.internal.ole.win32";1;0;4;1;0;0;0;4;637;0;1;7;637;105;2;1;0;2;2;7;1;7;1;2;0
"150";"org.eclipse.update.internal.ui";0;0;8;0;2;1;3;5;168;0;0;50;168;0;2;0;1;0;2;50;1;50;1;0;1
"151";"org.eclipse.swt.events";1;0;3;1;0;0;0;3;32;0;1;21;32;36;2;1;0;2;2;21;1;21;1;1;1
