filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.osgi.service.datalocation;0;2;11;0;7;6;7;4;335;1;4;4672;653;0;2;0;1;4;11;5505;1;5925;10;0;
org.eclipse.jface.util;0;0;8;0;1;1;1;7;274;2;6;179;414;0;2;1;0;7;8;179;1;6338;7;0;
org.eclipse.jdt.internal.compiler.impl;0;0;14;0;1;1;1;13;604;2;11;13;1234;0;2;2;0;13;14;1070;2;5587;12;0;
org.eclipse.swt.widgets;1;1;15;1;2;2;2;13;4368;3;9;0;5747;551;3;4;0;13;15;16;4;6352;11;5;
org.eclipse.ui.internal.activities;3;1;10;1;2;2;2;8;1147;2;7;2444;2583;440;2;1;0;8;10;2444;1;6338;9;4;
org.eclipse.ui.internal.intro.impl.model.loader;0;2;5;0;5;4;5;0;89;0;0;5115;161;0;2;0;1;0;5;5115;1;5314;4;0;
org.eclipse.jdt.internal.corext.dom;2;1;19;1;2;2;2;17;292;2;16;42;1007;399;2;1;0;17;19;1574;1;6340;18;4;
org.eclipse.ui.views.navigator;2;0;3;1;0;0;0;3;22;2;2;2208;22;37;2;1;0;3;3;2208;1;3308;2;4;
org.eclipse.osgi.framework.debug;0;1;8;0;4;4;4;4;248;1;4;3013;390;0;1;0;0;4;8;3013;0;6337;8;0;
org.eclipse.pde.ui.internal.samples;0;1;7;0;4;4;4;3;240;2;2;4523;661;0;2;1;0;3;7;4523;1;6336;6;0;
org.eclipse.team.internal.ui.actions;0;1;5;0;2;2;2;3;302;1;3;990;326;0;1;0;0;3;5;990;0;6337;5;0;
org.eclipse.ui.internal.texteditor;0;1;7;0;3;3;3;4;102;2;3;2544;229;0;2;1;0;4;7;2544;1;6340;6;0;
org.eclipse.jface.contentassist;1;2;5;1;5;3;5;0;273;0;0;5181;347;20;2;0;2;0;5;5181;2;6340;3;1;
org.eclipse.core.internal.preferences;0;1;18;0;6;6;6;12;331;3;10;4351;1251;0;3;2;0;12;18;4351;2;5755;16;0;
